0~15 layer, bitwiseAnd_17 bit : mosquito_net (5.59%) toilet_tissue (2.78%) envelope (2.61%)
0~16 layer, bitwiseAnd_17 bit : mosquito_net (5.55%) toilet_tissue (2.76%) envelope (2.60%)
0~17 layer, bitwiseAnd_17 bit : mosquito_net (5.46%) toilet_tissue (2.73%) envelope (2.57%)
0~18 layer, bitwiseAnd_22 bit : mosquito_net (3.22%) toilet_tissue (1.91%) envelope (1.77%)
0~0 layer, fix8 bit : coffee_mug (100.00%) toilet_tissue (0.00%) starfish (0.00%)
0~1 layer, bitwiseAnd_16 bit : coffee_mug (100.00%) toilet_tissue (0.00%) starfish (0.00%)
0~2 layer, bitwiseAnd_17 bit : coffee_mug (100.00%) toilet_tissue (0.00%) starfish (0.00%)
0~3 layer, bitwiseAnd_17 bit : coffee_mug (100.00%) toilet_tissue (0.00%) starfish (0.00%)
0~4 layer, bitwiseAnd_17 bit : coffee_mug (100.00%) toilet_tissue (0.00%) starfish (0.00%)
0~5 layer, bitwiseAnd_17 bit : coffee_mug (100.00%) toilet_tissue (0.00%) starfish (0.00%)
0~6 layer, bitwiseAnd_17 bit : coffee_mug (100.00%) toilet_tissue (0.00%) starfish (0.00%)

0~0 layer, fix8 bit : coffee_mug (88.58%) cup (5.47%) coffeepot (2.23%)
0~1 layer, bitwiseAnd_16 bit : coffee_mug (88.53%) cup (5.48%) coffeepot (2.24%)
0~2 layer, bitwiseAnd_17 bit : coffee_mug (88.46%) cup (5.51%) coffeepot (2.25%)
0~3 layer, bitwiseAnd_17 bit : coffee_mug (88.36%) cup (5.52%) coffeepot (2.27%)
0~4 layer, bitwiseAnd_17 bit : coffee_mug (88.27%) cup (5.54%) coffeepot (2.29%)
0~5 layer, bitwiseAnd_17 bit : coffee_mug (88.16%) cup (5.57%) coffeepot (2.31%)
0~6 layer, bitwiseAnd_17 bit : coffee_mug (88.07%) cup (5.58%) coffeepot (2.32%)
0~7 layer, bitwiseAnd_17 bit : coffee_mug (87.97%) cup (5.61%) coffeepot (2.34%)
0~8 layer, bitwiseAnd_17 bit : coffee_mug (87.88%) cup (5.63%) coffeepot (2.36%)
0~9 layer, bitwiseAnd_17 bit : coffee_mug (87.80%) cup (5.65%) coffeepot (2.37%)
0~10 layer, bitwiseAnd_17 bit : coffee_mug (87.69%) cup (5.67%) coffeepot (2.40%)
0~11 layer, bitwiseAnd_17 bit : coffee_mug (87.60%) cup (5.69%) coffeepot (2.41%)
0~12 layer, bitwiseAnd_17 bit : coffee_mug (87.49%) cup (5.71%) coffeepot (2.43%)
0~13 layer, bitwiseAnd_17 bit : coffee_mug (87.38%) cup (5.73%) coffeepot (2.46%)
0~14 layer, bitwiseAnd_17 bit : coffee_mug (87.28%) cup (5.75%) coffeepot (2.47%)
0~15 layer, bitwiseAnd_17 bit : coffee_mug (87.05%) cup (5.82%) coffeepot (2.51%)
0~16 layer, bitwiseAnd_17 bit : coffee_mug (86.90%) cup (5.85%) coffeepot (2.55%)
0~17 layer, bitwiseAnd_17 bit : coffee_mug (86.67%) cup (5.92%) coffeepot (2.59%)
0~18 layer, bitwiseAnd_22 bit : coffee_mug (77.96%) cup (9.12%) coffeepot (3.77%)

0~0 layer, fix8 bit : coffee_mug (88.58%) cup (5.47%) coffeepot (2.23%)
0~1 layer, fix8 bit : coffee_mug (86.24%) cup (6.31%) coffeepot (2.34%)
0~2 layer, bitwiseAnd_17 bit : coffee_mug (86.16%) cup (6.33%) coffeepot (2.34%)
0~3 layer, bitwiseAnd_17 bit : coffee_mug (86.07%) cup (6.33%) coffeepot (2.36%)
0~4 layer, bitwiseAnd_17 bit : coffee_mug (85.98%) cup (6.35%) coffeepot (2.38%)
0~5 layer, bitwiseAnd_17 bit : coffee_mug (85.88%) cup (6.37%) coffeepot (2.40%)
0~6 layer, bitwiseAnd_17 bit : coffee_mug (85.78%) cup (6.38%) coffeepot (2.41%)
0~7 layer, bitwiseAnd_17 bit : coffee_mug (85.68%) cup (6.41%) coffeepot (2.42%)
0~8 layer, bitwiseAnd_17 bit : coffee_mug (85.59%) cup (6.42%) coffeepot (2.44%)
0~9 layer, bitwiseAnd_17 bit : coffee_mug (85.51%) cup (6.44%) coffeepot (2.45%)
0~10 layer, bitwiseAnd_17 bit : coffee_mug (85.40%) cup (6.46%) coffeepot (2.47%)
0~11 layer, bitwiseAnd_17 bit : coffee_mug (85.31%) cup (6.48%) coffeepot (2.48%)
0~12 layer, bitwiseAnd_17 bit : coffee_mug (85.20%) cup (6.49%) coffeepot (2.49%)
0~13 layer, bitwiseAnd_17 bit : coffee_mug (85.08%) cup (6.51%) coffeepot (2.52%)
0~14 layer, bitwiseAnd_17 bit : coffee_mug (84.97%) cup (6.53%) coffeepot (2.53%)
0~15 layer, bitwiseAnd_17 bit : coffee_mug (84.72%) cup (6.59%) coffeepot (2.57%)
0~16 layer, bitwiseAnd_17 bit : coffee_mug (84.55%) cup (6.63%) coffeepot (2.60%)
0~17 layer, bitwiseAnd_17 bit : coffee_mug (84.30%) cup (6.69%) coffeepot (2.65%)
0~18 layer, bitwiseAnd_22 bit : coffee_mug (74.92%) cup (9.83%) coffeepot (3.78%)

0~0 layer, bitwiseAnd_21 bit : coffee_mug (89.57%) cup (5.87%) coffeepot (1.57%)
0~1 layer, fix8 bit : coffee_mug (87.53%) cup (6.49%) coffeepot (1.72%)
0~2 layer, bitwiseAnd_17 bit : coffee_mug (87.46%) cup (6.51%) coffeepot (1.73%)
0~3 layer, bitwiseAnd_17 bit : coffee_mug (87.38%) cup (6.51%) coffeepot (1.75%)
0~4 layer, bitwiseAnd_17 bit : coffee_mug (87.30%) cup (6.53%) coffeepot (1.76%)
0~5 layer, bitwiseAnd_17 bit : coffee_mug (87.21%) cup (6.55%) coffeepot (1.77%)
0~6 layer, bitwiseAnd_17 bit : coffee_mug (87.14%) cup (6.56%) coffeepot (1.78%)
0~7 layer, bitwiseAnd_17 bit : coffee_mug (87.05%) cup (6.58%) coffeepot (1.79%)
0~8 layer, bitwiseAnd_17 bit : coffee_mug (86.97%) cup (6.60%) coffeepot (1.81%)
0~9 layer, bitwiseAnd_17 bit : coffee_mug (86.90%) cup (6.61%) coffeepot (1.81%)
0~10 layer, bitwiseAnd_17 bit : coffee_mug (86.80%) cup (6.63%) coffeepot (1.83%)
0~11 layer, bitwiseAnd_17 bit : coffee_mug (86.72%) cup (6.64%) coffeepot (1.84%)
0~12 layer, bitwiseAnd_17 bit : coffee_mug (86.63%) cup (6.65%) coffeepot (1.85%)
0~13 layer, fix8 bit : toilet_tissue (6.73%) coffee_mug (3.63%) lampshade (3.19%)
0~14 layer, bitwiseAnd_17 bit : toilet_tissue (6.76%) coffee_mug (3.63%) lampshade (3.17%)
0~15 layer, bitwiseAnd_17 bit : toilet_tissue (6.62%) coffee_mug (3.55%) lampshade (3.11%)
0~16 layer, bitwiseAnd_17 bit : toilet_tissue (6.55%) coffee_mug (3.52%) lampshade (3.08%)
0~17 layer, bitwiseAnd_17 bit : toilet_tissue (6.45%) coffee_mug (3.48%) lampshade (3.04%)
0~18 layer, bitwiseAnd_16 bit : toilet_tissue (6.41%) coffee_mug (3.46%) lampshade (3.02%)

0~0 layer, bitwiseAnd_21 bit : coffee_mug (89.57%) cup (5.87%) coffeepot (1.57%)
0~1 layer, fix8 bit : coffee_mug (87.53%) cup (6.49%) coffeepot (1.72%)
0~2 layer, bitwiseAnd_17 bit : coffee_mug (87.46%) cup (6.51%) coffeepot (1.73%)
0~3 layer, fix8 bit : coffee_mug (86.22%) cup (6.49%) pitcher (1.90%)
0~4 layer, bitwiseAnd_17 bit : coffee_mug (86.15%) cup (6.50%) pitcher (1.91%)
0~5 layer, bitwiseAnd_17 bit : coffee_mug (86.05%) cup (6.51%) pitcher (1.93%)
0~6 layer, bitwiseAnd_17 bit : coffee_mug (85.96%) cup (6.52%) pitcher (1.95%)
0~7 layer, bitwiseAnd_17 bit : coffee_mug (85.87%) cup (6.54%) pitcher (1.97%)
0~8 layer, bitwiseAnd_17 bit : coffee_mug (85.77%) cup (6.55%) pitcher (1.98%)
0~9 layer, bitwiseAnd_17 bit : coffee_mug (85.70%) cup (6.56%) pitcher (2.00%)
0~10 layer, bitwiseAnd_17 bit : coffee_mug (85.59%) cup (6.57%) pitcher (2.02%)
0~11 layer, bitwiseAnd_17 bit : coffee_mug (85.51%) cup (6.58%) pitcher (2.04%)
0~12 layer, bitwiseAnd_17 bit : coffee_mug (85.40%) cup (6.59%) pitcher (2.06%)
0~13 layer, bitwiseAnd_17 bit : coffee_mug (85.30%) cup (6.60%) pitcher (2.08%)
0~14 layer, bitwiseAnd_17 bit : coffee_mug (85.18%) cup (6.62%) pitcher (2.10%)
0~15 layer, bitwiseAnd_17 bit : coffee_mug (84.93%) cup (6.69%) pitcher (2.14%)
0~16 layer, bitwiseAnd_17 bit : coffee_mug (84.75%) cup (6.73%) pitcher (2.17%)
0~17 layer, bitwiseAnd_17 bit : coffee_mug (84.50%) cup (6.79%) pitcher (2.21%)
0~18 layer, bitwiseAnd_16 bit : coffee_mug (84.35%) cup (6.84%) pitcher (2.23%)

0~0 layer, bitwiseAnd_21 bit : coffee_mug (89.57%) cup (5.87%) coffeepot (1.57%)
0~1 layer, fix8 bit : coffee_mug (87.53%) cup (6.49%) coffeepot (1.72%)
0~2 layer, fix8 bit : coffee_mug (79.63%) cup (7.52%) coffeepot (3.17%)
0~3 layer, fix8 bit : coffee_mug (79.04%) cup (8.54%) coffeepot (3.06%)
0~4 layer, bitwiseAnd_17 bit : coffee_mug (78.96%) cup (8.54%) coffeepot (3.07%)
0~5 layer, bitwiseAnd_17 bit : coffee_mug (78.86%) cup (8.56%) coffeepot (3.08%)
0~6 layer, bitwiseAnd_17 bit : coffee_mug (78.76%) cup (8.56%) coffeepot (3.09%)
0~7 layer, bitwiseAnd_17 bit : coffee_mug (78.66%) cup (8.58%) coffeepot (3.10%)
0~8 layer, bitwiseAnd_17 bit : coffee_mug (78.55%) cup (8.59%) coffeepot (3.11%)
0~9 layer, bitwiseAnd_17 bit : coffee_mug (78.47%) cup (8.61%) coffeepot (3.11%)
0~10 layer, bitwiseAnd_17 bit : coffee_mug (78.35%) cup (8.62%) coffeepot (3.13%)
0~11 layer, bitwiseAnd_17 bit : coffee_mug (78.26%) cup (8.62%) coffeepot (3.14%)
0~12 layer, bitwiseAnd_17 bit : coffee_mug (78.14%) cup (8.63%) coffeepot (3.15%)
0~13 layer, bitwiseAnd_17 bit : coffee_mug (78.01%) cup (8.64%) coffeepot (3.17%)
0~14 layer, bitwiseAnd_17 bit : coffee_mug (77.90%) cup (8.67%) coffeepot (3.17%)
